赛季,时间,投篮,三分,罚球,篮板,助攻,抢断,盖帽,失误,犯规,得分
2012,28.8,5.5,0,2.6,8.2,1.0,1.17,1.75,1.39,2.47,13.5
2013,35.2,7.8,0.0,5.2,10.0,1.6,1.33,2.82,1.63,2.99,20.8
2014,36.1,9.4,0.0,5.5,10.2,2.2,1.47,2.94,1.40,2.07,24.4
2015,35.5,9.2,0.6,5.3,10.3,1.9,1.28,2.05,1.98,2.43,24.3
2016,36.1,10.3,0.5,6.9,11.8,2.1,1.25,2.23,2.41,2.24,28.0
2017,36.4,10.4,0.7,6.6,11.1,2.3,1.53,2.57,2.16,2.12,28.1
2017,36.4,10.4,0.7,6.6,11.1,2.3,1.53,2.57,2.16,2.12,28.1
2018,33.0,9.5,0.9,6.1,12.0,3.9,1.57,2.41,2.00,2.36,25.9
2019,34.4,8.9,1.2,7.2,9.3,3.2,1.47,2.31,2.48,2.52,26.1
2020,32.3,8.4,0.7,4.4,7.9,3.1,1.25,1.64,2.06,1.67,21.8
2021,35.1,9.2,0.3,4.3,9.8,3.0,1.23,2.25,2.05,2.42,23.2
2022,34.0,9.7,0.3,6.2,12.5,2.6,1.05,2.04,2.18,2.61,25.9
