赛季,时间,投篮,三分,罚球,篮板,助攻,抢断,盖帽,失误,犯规,得分
2007,34.6,7.3,0.7,4.9,4.3,2.4,0.97,0.94,2.90,1.52,20.3
2008,39.0,8.9,1.3,6.1,6.5,2.8,1.30,0.72,3.04,1.81,25.3
2009,39.5,9.7,1.6,9.2,7.6,2.8,1.37,1.02,3.30,2.09,30.1
2010,38.9,9.1,1.9,7.6,6.8,2.7,1.13,0.97,2.79,2.04,27.7
2011,38.6,9.7,2.0,6.5,8.0,3.5,1.33,1.17,3.76,2.02,28.0
2012,38.5,9.0,1.7,8.4,7.9,4.6,1.43,1.30,3.46,1.77,28.1
2013,38.5,10.5,2.4,8.7,7.4,5.5,1.27,0.73,3.52,2.15,32.0
2014,33.8,8.8,2.4,5.4,6.6,4.1,0.89,0.93,2.74,1.48,25.4
2015,35.8,9.7,2.6,6.2,8.2,5.0,0.96,1.18,3.47,1.90,28.2
2016,33.4,8.9,1.9,5.4,8.3,4.8,1.06,1.60,2.23,1.89,25.1
2017,34.2,9.3,2.5,5.3,6.8,5.4,0.74,1.75,3.04,1.96,26.4
2017,34.2,9.3,2.5,5.3,6.8,5.4,0.74,1.75,3.04,1.96,26.4
2018,34.6,9.2,1.8,5.7,6.4,5.9,0.74,1.08,2.88,1.99,26.0
2020,33.1,9.3,2.4,6.0,7.1,5.6,0.71,1.29,3.43,2.00,26.9
2021,37.2,10.5,2.1,6.8,7.4,6.4,0.87,0.95,3.47,2.05,29.9
2022,36.0,10.5,1.8,6.8,6.7,5.3,0.82,1.46,3.49,2.36,29.7
2022,33.6,9.1,2.8,5.0,6.4,3.5,0.25,1.25,2.50,0.88,26.0
