赛季,时间,投篮,三分,罚球,篮板,助攻,抢断,盖帽,失误,犯规,得分
2003,39.5,7.9,0.8,4.4,5.5,5.9,1.65,0.73,3.46,1.89,20.9
2004,42.4,9.9,1.4,6.0,7.3,7.2,2.21,0.65,3.27,1.82,27.2
2005,42.5,11.1,1.6,7.6,7.0,6.6,1.56,0.84,3.29,2.29,31.4
2006,40.9,9.9,1.3,6.3,6.7,6.0,1.60,0.71,3.21,2.19,27.3
2007,40.4,10.6,1.5,7.3,7.9,7.2,1.84,1.08,3.40,2.20,30.0
2008,37.7,9.7,1.6,7.3,7.6,7.2,1.69,1.15,2.98,1.72,28.4
2009,39.0,10.1,1.7,7.8,7.3,8.6,1.64,1.01,3.43,1.57,29.7
2010,38.8,9.6,1.2,6.4,7.5,7.0,1.57,0.63,3.59,2.06,26.7
2011,37.5,10.0,0.9,6.2,7.9,6.2,1.85,0.81,3.44,1.55,27.1
2012,37.9,10.1,1.4,5.3,8.0,7.2,1.70,0.88,2.97,1.45,26.8
2013,37.7,10.0,1.5,5.7,6.9,6.3,1.57,0.34,3.51,1.64,27.1
2014,36.1,9.0,1.7,5.4,6.0,7.4,1.58,0.71,3.94,1.96,25.3
2015,35.6,9.7,1.1,4.7,7.4,6.8,1.37,0.64,3.28,1.88,25.3
2016,37.8,9.9,1.7,4.8,8.6,8.7,1.24,0.59,4.09,1.81,26.4
2017,36.9,10.5,1.8,4.7,8.6,9.1,1.41,0.87,4.23,1.66,27.5
2017,36.9,10.5,1.8,4.7,8.6,9.1,1.41,0.87,4.23,1.66,27.5
2018,35.2,10.1,2.0,5.1,8.5,8.3,1.31,0.60,3.58,1.71,27.4
2019,34.6,9.6,2.2,3.9,7.8,10.2,1.16,0.54,3.90,1.76,25.3
2020,33.4,9.4,2.3,4.0,7.7,7.8,1.07,0.56,3.73,1.56,25.0
2021,37.2,11.4,2.9,4.5,8.2,6.2,1.30,1.05,3.50,2.16,30.3
2022,35.5,11.1,2.2,4.6,8.3,6.8,0.91,0.58,3.24,1.60,28.9
