赛季,时间,投篮,三分,罚球,篮板,助攻,抢断,盖帽,失误,犯规,得分
2009,36.2,6.6,2.1,2.2,4.5,5.9,1.90,0.24,3.04,3.15,17.5
2010,33.6,6.8,2.0,2.9,3.9,5.8,1.47,0.27,3.05,3.15,18.6
2011,28.2,5.6,2.1,1.5,3.4,5.3,1.50,0.31,2.50,2.38,14.7
2012,38.2,8.0,3.5,3.4,4.0,6.9,1.62,0.15,3.08,2.54,22.9
2013,36.5,8.4,3.3,3.9,4.3,8.5,1.64,0.18,3.77,2.49,24.0
2014,32.7,8.2,3.6,3.9,4.3,7.7,2.04,0.20,3.11,1.98,23.8
2015,34.2,10.2,5.1,4.6,5.4,6.7,2.14,0.19,3.32,2.04,30.1
2016,33.4,8.5,4.1,4.1,4.5,6.6,1.80,0.22,3.03,2.32,25.3
2017,32.0,8.4,4.2,5.5,5.1,6.1,1.57,0.16,3.00,2.24,26.4
2017,32.0,8.4,4.2,5.5,5.1,6.1,1.57,0.16,3.00,2.24,26.4
2018,33.8,9.2,5.1,3.8,5.3,5.2,1.33,0.36,2.78,2.41,27.3
2019,27.8,6.6,2.4,5.2,5.2,6.6,1,0.40,3.20,2.20,20.8
2020,34.2,10.4,5.3,5.7,5.5,5.8,1.22,0.13,3.38,1.89,32.0
2021,34.5,8.4,4.5,4.3,5.2,6.3,1.33,0.36,3.22,2.03,25.5
2022,34.7,10.0,4.9,4.6,6.1,6.3,0.93,0.36,3.20,2.09,29.4
